"visit_date";"utm_source";"utm_medium";"utm_campaign";"visitors_count";"total_cost";"leads_count";"purchases_count";"revenue"
2023-06-07;vk;cpc;frontend;1;;0;126;
2023-06-07;vk;cpm;prof-frontend;1;;0;126;
2023-06-07;vk;social;all-courses;1;;0;126;
2023-06-07;vk;social;base-frontend;1;;0;126;
2023-06-07;vk;social;prof-frontend;1;;0;126;
2023-06-07;vk;social;promo;1;;0;126;
2023-06-07;vk-senler;cpc;dod-frontend;1;;0;126;
2023-06-07;yandex-direct;cpc;"51752512";1;;0;126;
2023-06-07;zen;social;prof-frontend;1;;0;126;
2023-06-08;vk;cpc;freemium-frontend;194;2575;0;126;
2023-06-08;vk;cpc;prof-python;191;5076;0;126;
2023-06-08;vk;cpc;prof-java;172;1594;0;126;
2023-06-08;vk;cpc;prof-data-analytics;135;3013;0;126;
2023-06-08;vk;cpc;freemium-java;124;2531;0;126;
2023-06-08;vk;cpc;prof-frontend;117;592;0;126;
2023-06-08;vk;cpc;base-python;111;1009;0;126;
2023-06-08;vk;cpc;freemium-python;109;2532;0;126;
2023-06-08;admitad;cpa;admitad;58;;0;126;
2023-06-08;timepad;cpp;base-frontend;47;;0;126;
2023-06-08;telegram;cpp;base-frontend;22;;0;126;
2023-06-08;vk;cpm;prof-data-analytics;16;762;0;126;
2023-06-08;vk;cpp;base-frontend;15;;0;126;
2023-06-08;vk-senler;cpc;freemium;12;;0;126;
2023-06-08;tproger;cpc;dod-frontend;11;;0;126;
2023-06-08;telegram;cpp;base-python;5;;0;126;
2023-06-08;vk;social;general;4;;0;126;
2023-06-08;telegram;cpp;base-java;3;;0;126;
2023-06-08;telegram;cpp;dod-frontend;3;;0;126;
2023-06-08;telegram;cpp;dod-php;3;;0;126;
2023-06-08;vk;cpm;prof-frontend;3;0;0;126;
2023-06-08;vk;social;hexlet-blog;3;;0;126;
2023-06-08;telegram;cpp;prof-java;2;;0;126;
2023-06-08;zen;social;hexlet-blog;2;;0;126;
2023-06-08;facebook;cpm;freemium-en;1;;0;126;
2023-06-08;facebook.com;social;buffer;1;;0;126;
2023-06-08;instagram;social;hexlet-blog;1;;0;126;
2023-06-08;telegram;cpm;frontend;1;;0;126;
2023-06-08;telegram;cpp;dod-java;1;;0;126;
2023-06-08;telegram;cpp;prof-frontend;1;;0;126;
2023-06-08;telegram;social;course_completed;1;;0;126;
2023-06-08;telegram;social;hexlet-blog;1;;0;126;
2023-06-08;telegram;social;mdtruehaskell--funktsionalnyy-yazyk;1;;0;126;
2023-06-08;vk;cpc;php;1;;0;126;
2023-06-08;vk;cpc;prof-php;1;;0;126;
2023-06-08;vk;cpm;php;1;;0;126;
2023-06-08;vk;cpp;dod-career;1;;0;126;
2023-06-08;vk;cpp;intensive-python;1;;0;126;
2023-06-08;vk;social;base-frontend;1;;0;126;
2023-06-08;vk;social;base-java;1;;0;126;
2023-06-08;vk-senler;cpc;dod-frontend;1;;0;126;
